title,stars,folks,main contributors
mingrammer / diagrams,8265,456,mingrammer,yu-iskw,gabriel-tessier,nlamirault,leandrodamascena
baowenbo / DAIN,5298,553,baowenbo,styler00dollar,AlphaGit,zhhezhhe,Audition-CSBlock
Ciphey / Ciphey,4425,226,bee-san,Cyclic3,lukasgabriel,appsallcontributors,SkeletalDemise
iGhibli / iOS-DeviceSupport,4652,724,iGhibli,anismansuri63,dinarajas,MichalTKwiecien,vrwim
TheAlgorithms / Python,85987,25143,harshildarji,cclauss,dynamitechetan,AnupKumarPanwar,SandersLin
SecureAuthCorp / impacket,5496,1623,asolino,dirkjanm,mohemiv,kacpern,MrAnde7son
drduh / macOS-Security-and-Privacy-Guide,17250,1214,drduh,sqrthree,Or3stis,DeadLion,TraderStf
connorferster / handcalcs,2573,164,connorferster,cclauss,eriknw,gxyd,anishLearnsToCode
trekhleb / learn-python,5111,907,trekhleb,vilmacio,hfanahita,firebreath1001,scraggard
jerry-git / learn-python3,2494,622,jerry-git,cclauss,jasrys,manoharganta256,vivek28111992
